user,puzzle,model,cogLoad,predicted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lowest,,,,
cdApril Showers.csv,dotogether-k.lgp,T,-1,-3,,dotogether-h.lgp,-3,dotogether-k.lgp,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,-4,,,
cdApril Showers.csv,dotogether-h.lgp,T,-3,-2.6,,dotogether-h.lgp,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,-3,,,
cdApril Showers.csv,repeat-ee.lgp,C,-4,-3.3,,repeat-a.lgp,-3.3,repeat-gg.lgp,-3.3,repeat-e.lgp,-3.3,repeat-ee.lgp,-3.3,repeat-m.lgp,-3.3,repeat-f.lgp,-3.1,repeat-g.lgp,-3.1,repeat-b.lgp,-3,repeat-cc.lgp,-1.5,repeat-c.lgp,-1.5,repeat-ii.lgp,-1.5,repeat-ff.lgp,-1.5,repeat-hh.lgp,-1.5,repeat-dd.lgp,-1.5,,,,,,,,,,,,,-4,-4,,,
cdApril Showers.csv,repeat-gg.lgp,C,-3,-3.3,,repeat-a.lgp,-3.3,repeat-gg.lgp,-3.3,repeat-e.lgp,-3.3,repeat-m.lgp,-3.3,repeat-f.lgp,-3.1,repeat-g.lgp,-3.1,repeat-b.lgp,-3,repeat-cc.lgp,-1.4000001,repeat-c.lgp,-1.4000001,repeat-ii.lgp,-1.4000001,repeat-ff.lgp,-1.4000001,repeat-hh.lgp,-1.4000001,repeat-dd.lgp,-1.4000001,,,,,,,,,,,,,,,-4,-4,,,
cdApril Showers.csv,repeat-m.lgp,C,-3,-3.5,,repeat-a.lgp,-3.5,repeat-e.lgp,-3.5,repeat-m.lgp,-3.5,repeat-f.lgp,-3.3,repeat-g.lgp,-3.3,repeat-b.lgp,-3.2,repeat-ff.lgp,-1.5,repeat-hh.lgp,-1.5,repeat-cc.lgp,-1.5,repeat-c.lgp,-1.5,repeat-ii.lgp,-1.5,repeat-dd.lgp,-1.5,,,,,,,,,,,,,,,,,-4,-4,,,
cdApril Showers.csv,repeat-e.lgp,C,-3,-3.7,,repeat-a.lgp,-3.7,repeat-e.lgp,-3.7,repeat-f.lgp,-2.8,repeat-g.lgp,-2.8,repeat-b.lgp,-2.7,repeat-ff.lgp,-1.8,repeat-hh.lgp,-1.8,repeat-cc.lgp,-1.8,repeat-c.lgp,-1.8,repeat-ii.lgp,-1.8,repeat-dd.lgp,-1.8,,,,,,,,,,,,,,,,,,,-4,-4,,,
cdApril Showers.csv,repeat-a.lgp,C,-2,-3.4,,repeat-a.lgp,-3.4,repeat-f.lgp,-3.2,repeat-g.lgp,-3.2,repeat-b.lgp,-3.1,repeat-ff.lgp,-1.5999999,repeat-hh.lgp,-1.5999999,repeat-cc.lgp,-1.5999999,repeat-c.lgp,-1.5999999,repeat-ii.lgp,-1.5999999,repeat-dd.lgp,-1.5999999,,,,,,,,,,,,,,,,,,,,,-4,-3,,,
cdApril Showers.csv,repeat-f.lgp,C,-2,-3.2,,repeat-f.lgp,-3.2,repeat-g.lgp,-3.2,repeat-b.lgp,-3.1,repeat-ff.lgp,-1.5999999,repeat-hh.lgp,-1.5999999,repeat-cc.lgp,-1.5999999,repeat-c.lgp,-1.5999999,repeat-ii.lgp,-1.5999999,repeat-dd.lgp,-1.5999999,,,,,,,,,,,,,,,,,,,,,,,-4,-4,,,
cdApril Showers.csv,repeat-b.lgp,C,-3,-2.2,,repeat-b.lgp,-2.2,repeat-g.lgp,-2.1,repeat-ff.lgp,-1.8,repeat-hh.lgp,-1.8,repeat-cc.lgp,-1.8,repeat-c.lgp,-1.8,repeat-ii.lgp,-1.8,repeat-dd.lgp,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,-4,-3,,,
cdApril Showers.csv,repeat-g.lgp,C,-3,-3.2,,repeat-g.lgp,-3.2,repeat-ff.lgp,-1.8,repeat-hh.lgp,-1.8,repeat-cc.lgp,-1.8,repeat-c.lgp,-1.8,repeat-ii.lgp,-1.8,repeat-dd.lgp,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,-3,,,
